"Subject","Course Number","Department(s)","Course Title","Credits - Units - Minimum Units","Credits - Units - Maximum Units","Terms Offered","Course Description","Cross-Listed Course(s)","Repeat Rules","Repeat Rule: Special Circumstances","Offering Information","Additional Offering Information"
"DEVENG","299","Development Engineering Graduate Group","Graduate Research","1","4","-","Individual Study or Research in Development Engineering","-","Course may be repeated for credit without restriction.","-","-","-"
"DEVENG","601","Development Engineering Graduate Group","Individual Study for Master's Students","1","12","-","In consultation with the graduate advisor, DevEng 601 revolves around investigations of advanced problems in Development Engineering, where the subject material and tasks will be worked out between the instructor and a student working on the same topic. It is an opportunity for students to work in lab settings with faculty on topics and research relevant to both. Units may not be used to meet either unit or residence requirements.","-","Course may be repeated for credit without restriction.","-","-","-"
"DEVENG","C200","Development Engineering Graduate Group","Design, Evaluate, and Scale Development Technologies","3","3","-","This required course for the Designated Emphasis in Development Engineering will include projects and case studies, many related to projects at UC Berkeley, such as those associated with the Development Impact Labs (DIL). Student teams will work with preliminary data to define the problem. They will then collect and analyze interview and survey data from potential users and begin to design a solution. Students will explore how to use novel monitoring technologies and ""big data"" for product improvement and evaluation. The student teams will use the case studies (with improvements based on user feedback and data analysis) to develop a plan for scaling and evaluation with a rigorous controlled trial.","MECENGC200 DEV TECH DESIGN","Course is not repeatable for credit.","-","-","-"
"DEVP","200","Development Practice Graduate Group","The Capstone Experience","6","6","-","The MDP Capstone Experience aims to guide students to successfully complete their capstone (final project or master’s thesis) milestone from the Master of Development Practice (MDP) program. The course aims to help students create an outstanding final project or master’s thesis, and to provide an appropriate scaffolding. Students will reflect on their pedagogical and professional journey during the MDP program. One can expect to acquire research-related skills, such as writing a proposal, designing a research project, and writing a literature review, and gain proficiency in the use of Internet-based search engines, data collection, and electronic journals, etc as well as produce stellar presentations.","-","Course is not repeatable for credit.","-","-","-"
"DEVP","200A","Development Practice Graduate Group","The Capstone Experience","3","3","-","The MDP Capstone Experience aims to guide students to successfully complete their capstone (final project or master’s thesis) milestone from the Master of Development Practice (MDP) program. The course aims to help students create an outstanding final project or master’s thesis, and to provide an appropriate scaffolding. Students will reflect on their pedagogical and professional journey during the MDP program. One can expect to acquire research-related skills, such as writing a proposal, designing a research project, and writing a literature review, and gain proficiency in the use of Internet-based search engines, data collection, and electronic journals, etc as well as produce stellar presentations.","-","Course is not repeatable for credit.","-","-","-"
"DEVP","209","Development Practice Graduate Group","Decision Analysis, Modeling and Quantitative Methods","4","4","-","This is the first of a two-course sequence in quantitative methods for MDP students. As such, it has two goals. First, we want to train you to think quantitatively and probabilistically – to understand basic terms, to be able to make sense of masses of data, to make informed decisions under uncertainty, and to have a good foundation for thinking intelligently about the two fundamental problems of statistics, the distinction between correlation and causation and the distinction between signal and noise. Second, we want to prepare you for the other courses in the MDP curriculum.","-","Course is not repeatable for credit.","-","-","-"
"DEVP","221","Development Practice Graduate Group","Climate, Energy and Development","3","3","-","Graduate seminar examining the role of energy science, technology, and policy in
international development. The course will look at how changes in the theory and practice
of energy systems and of international development have co-evolved over the past half-
century, and what opportunities exist going forward.

A focus will be on rural and decentralized energy use, and the issues of technology, culture,
and politics that are raised by both current trajectories, and potential alternative energy
choices. We will explore the frequently divergent ideas about energy and development that
have emerged from civil society, academia, multinational development agencies, and the
private and industrial sector.","-","Course is not repeatable for credit.","-","-","-"
"DEVP","222","Development Practice Graduate Group","Economics of Sustainable Resource Development","4","4","-","This course will introduce the basic concepts including economic welfare, externality, public good, global commons, policy approaches for dealing with externality, and techniques for quality analysis. It will include case studies where groups will design economic incentives and policy solutions to major problems. It will have sections on particular problems including climate change, water and air quality, animal waste, toxic contamination, forestry and fishery policy.","-","Course is not repeatable for credit.","-","-","-"
"DEVP","226","Development Practice Graduate Group","Economics and Policy of Innovation and Supply Chains","4","4","-","This course explores how innovation shapes evolving economies and the supply chains that bring innovations to life. Students will gain a conceptual and practical understanding of how supply chains are designed, operate, and respond to policy, environmental, and market factors. The course includes lectures on innovation and supply chain theory, followed by student-led case study presentations on real-world examples across sectors like food, energy, and digital services. Emphasis is placed on interdisciplinary analysis, resilience, and the role of supply chains in sustainable development.","-","Course is not repeatable for credit.","-","-","-"
"DEVP","227","Development Practice Graduate Group","Principles of Natural Resource Management","2","2","-","This course will introduce concepts in natural resource management. Segment 1 will cover basic modeling, techniques, and methodology in natural resource mamangement and sustainability. Segment 2 will address genetic resources and agriculture. Segment 3 will cover principles of natural resource management, namely water and air, in the development context. Segment 4 profides an overview of major concepts in the conservation of biodiversity. Students are expected to present research reports based on case studies.","-","Course is not repeatable for credit.","-","-","-"
"DEVP","228","Development Practice Graduate Group","Strategic Planning and Project Management","3","3","-","A pragmatic, interdisciplinary introduction to strategic planning and project management, introducing students to a portfolio of models, tools, and techniques drawn from the private, nonprofit, and public sectors. It will offer an opportunity through case studies, simulations and class projects to apply those approaches in settings relevant to the development field.","-","Course is not repeatable for credit.","-","-","-"
"DEVP","228A","Development Practice Graduate Group","Project Management","1","1","-","The primary objective of the Project Management course is to develop critical skills and the knowledge needed to successfully define, plan, implement and lead projects. Emphasis on this course is positioned on Project Planning. The course may be particularly useful to students who attend experiential learning programs, such as MDP, where teams of students may need to define and plan projects along their semester or the year.  Course content includes lecture notes on Project Management theory and tools, Business Cases and Project Management software and a Simulation on Project Execution. ","-","Course is not repeatable for credit.","-","-","-"
"DEVP","228B","Development Practice Graduate Group","Strategic Planning and Managemenr","2","2","-","This course focuses on the tools, techniques and methodologies by which sustainable development leaders can enhance the impact and viability of their organizations and/or plans. In this course, we will assume a leadership perspective on the management of organizations with the intent of improving your strategic decision-making skills. You will learn the analytical tools used by organizations to maximize their impact on key stakeholders.","-","Course is not repeatable for credit.","-","-","-"
"DEVP","229","Development Practice Graduate Group","Quantitative Methods and Impact Evaluation","3","3","-","This course is designed to introduce students to the basic concepts of estimation, prediction, and hypothesis testing. The course will focus on impact evaluation theory and methods and will explore the variety of tools available for rigorously measuring the impact of development programs on poverty.","-","Course is not repeatable for credit.","-","-","-"
"DEVP","230","Development Practice Graduate Group","Politics of Policy Success","4","4","-","Delve into the triumphs of public policy in the Global South, with a primary emphasis on Latin America. Uncover stories of social welfare programs that lifted millions from poverty, criminal justice reforms that curbed human rights abuses, and transformative voting technologies. Assess the effectiveness of these policies, and explore the political dynamics that facilitated their success. By the end, you'll gain insights into the symbiotic relationship between good policy and good politics in the Global South.","-","Course is not repeatable for credit.","-","-","-"
"DEVP","232","Development Practice Graduate Group","Foundations of Public Health","2","2","-","The seminar will introduce core disciplines and concepts in public health, using a case-based, integrated approach. Examples of cases discussed include: respiratory disease and air pollution; tobacco control and prevention of smoking-related conditions; disease elimination or eradication via childhood immunization; environmental control and prevention of schistosomiasis; behavior change and prevention of HIV/AIDS; and novel economic approaches to improving healthcare delivery to impoverished groups. ","-","Course is not repeatable for credit.","-","-","-"
"DEVP","233","Development Practice Graduate Group","Law, Politics, and Policymaking","3","3","-","Law, Politics, and Policymaking will introduce students to principles of law, the mechanisms of politics, political economy, and policymaking delving into fundamentals of business, as well as environmental, international, and human rights law in the context of development. This course will provide students with insights into real-world contexts in which sustainable development practice takes place. It will consist of case studies of political economic and legal analysis.","-","Course is not repeatable for credit.","-","-","-"
"DEVP","235","Development Practice Graduate Group","Economic Development and Policy","3","3","-","Learn to apply the tools of economic analysis to problems of growth, poverty, and environmental sustainability in developing countries and to understand what can be done to promote development through policies and investment projects, and learn to analyze the economic, social, and environmental impacts of specific initiatives. This course will teach students to use data to conduct development analyses and learn to prepare the corresponding reports for international development agencies and policymakers.","-","Course is not repeatable for credit.","-","-","-"
"DEVP","237","Development Practice Graduate Group","Leadership, Conflict Resolution, and Community Development","3","3","-","This three-segment course starts with critical evaluation of literature and methods for communal natural resource management, followed by a segment that emphasizes leadership skills and conflict resolution approaches for development. The third segment will address issues of conflict and policymaking in a global context and provide the institutional perspective of development organizations and strategies.","-","Course is not repeatable for credit.","-","-","-"
"DEVP","239","Development Practice Graduate Group","Interactive/Multidisciplinary Seminar","2","2","-","This course provides an opportunity for Master of Development Practice students to interact with a diverse group of invited guest speakers, including academics and practitioners. It will also provide opportunities for group discussion of basic questions, and it will provide opportunities to present ideas and discuss research and internship plans and experiences.","-","Course may be repeated for credit without restriction.","-","-","-"
"DEVP","240","Development Practice Graduate Group","Introduction to Development Practice","4","4","-","Introduction to Development Practice is a course geared towards first-semester MDP students to provide an introduction, overview, and history of the development field, including a discussion of the emergence of various forms of development institutions and organizations, as well as key policies influencing the emergence and evolution of the field.","-","Course is not repeatable for credit.","-","-","-"
"DEVP","252","Development Practice Graduate Group","International Poverty and Economic Development","4","4","-","The focus of the course is on rigorous analysis of issues in development economics from a microeconomics lens. We take a threefold approach to each topic: we examine, in turn, theory, evidence, and policy. Yet the goal of the course is not simply to have you learn facts and theories about poor countries—instead, the goal is that you learn, hands-on, how economists approach problems of development. As such, the bulk of the course will be devoted to in-depth analysis of (microeconomic) models and (micro-econometric) empirical methods. Finally, a sub-theme of the course is to provide the professional tools and experience in using data sets for analysis.","-","Course is not repeatable for credit.","-","-","-"
"DEVP","290","Development Practice Graduate Group","Special Topics","1","3","-","This course provides a hands-on introduction to entrepreneurship as it relates to sustainable development.  Its focus is on exploring and developing the toolsets, skillsets and mindsets required to launch and sustain a successful venture, be it from the ground up or from inside an existing organization, for-profit or non-profit. Guided by visiting experts and guest lectures, students will learn how to focus on “customers” first and to understand ""sustainability"" not only in environmental and social terms but also how to ensure critically important financial sustainability.","-","Course may be repeated for credit when topic changes.","-","-","-"
"DEVP","295","Richard and Rhoda Goldman School of Public Policy","Strategic Planning, Implementation and Policy in Development Practice","3","3","-","This course focuses on the tools, techniques and methodologies by which sustainable development leaders can enhance the impact and viability of their organizations and/or plans. In this course, we will assume a leadership perspective on the management of organizations with the intent of improving your strategic decision-making skills. You will learn the analytical tools used by organizations to maximize their impact on key stakeholders.","-","Course is not repeatable for credit.","-","-","-"
"DEVP","296","Development Practice Graduate Group","Innovative Finance for Development","3","3","-","This course will focus on the means and methods of finance applied to social, economic, and environmental challenges facing developing economies.  It will survey the application of innovative financing emerging through new products and services, new processes and operations and organizational forms in addressing problems as diverse as entrepreneurial finance, renewable energy, environmental finance, global health, accelerating medical solutions, regional development, affordable housing, urban revitalization and infrastructure. 
","-","Course is not repeatable for credit.","-","-","-"
"DEVP","299","Richard and Rhoda Goldman School of Public Policy","Independent Study","1","4","-","Supervised Independent Study and Research ","-","Course may be repeated for a set number of times.","-","-","-"
"DEVP","C221","Richard and Rhoda Goldman School of Public Policy","Climate, Energy and Development","3","3","-","Graduate seminar examining the role of energy science, technology, and policy ininternational development. The course will look at how changes in the theory and practiceof energy systems and of international development have co-evolved over the past half-century, and what opportunities exist going forward.A focus will be on rural and decentralized energy use, and the issues of technology, culture,and politics that are raised by both current trajectories, and potential alternative energychoices. We will explore the frequently divergent ideas about energy and development thathave emerged from civil society, academia, multinational development agencies, and theprivate and industrial sector.","PUBPOLC221 CLIMATECHANGEENERGY, ENERESC221 CLIMATECHANGEENERGY","Course is not repeatable for credit.","-","-","-"
"DEVP","C253","Development Practice Graduate Group","International Economic Development Policy","3","3","-","This course emphasizes the development and application of policy solutions to developing-world problems related to poverty, macroeconomic policy, and environmental sustainability. Methods of statistical, economic, and policy analysis are applied to a series of case studies. The course is designed to develop practical professional skills for application in the international arena. ","ARESECC253 INT EC DEV POLICY, PUBPOLC253 INT EC DEV POLICY","Course is not repeatable for credit.","-","-","-"
"DRMART","222A","Theater, Dance, and Performance Studies","STUD CLASSICAL THEAT","5","5","-","-","-","-","-","-","-"
"DRMART","222B","Theater, Dance, and Performance Studies","STUD CLASSICAL THEAT","5","5","-","-","-","-","-","-","-"
"DRMART","222C","Theater, Dance, and Performance Studies","STUD CLASSICAL THEAT","5","5","-","-","-","-","-","-","-"
"DRMART","223A","Theater, Dance, and Performance Studies","TUDOR, STUART THEAT","5","5","-","-","-","-","-","-","-"
"DRMART","223B","Theater, Dance, and Performance Studies","TUDOR, STUART THEAT","5","5","-","-","-","-","-","-","-"
"DRMART","223C","Theater, Dance, and Performance Studies","TUDOR, STUART THEAT","5","5","-","-","-","-","-","-","-"
"DRMART","260C","Theater, Dance, and Performance Studies","ADV DIRECTING","5","5","-","-","-","-","-","-","-"
"DRMART","290","Theater, Dance, and Performance Studies","THEATER LABORATORY","2","2","-","-","-","-","-","-","-"
"DUTCH","298","German","Directed Group Study","2","8","-","Course may be repeated for credit as topic varies.  Seminar.  Must be taken on a satisfactory/unsatisfactory basis.","-","-","-","-","-"
"DUTCH","299","German","Individual Studies in Dutch for Graduate Students","1","8","-","For graduate students engaged in exploration of a restricted field, involving the writing of a research paper.","-","Course may be repeated for credit without restriction.","-","-","-"
"EALANG","200","East Asian Languages and Cultures","Proseminar: Approaches to East Asian Studies","2","4","-","This course is a pro-seminar required for all entering graduate students in the Department of East Asian Languages and Cultures no matter their particular areas of interest. Its purpose is to introduce graduate students in the program to the major theoretical concerns, academic issues, and interpretive methodologies relevant to humanistic studies more generally and to the study of East Asian literature, thought, religion, and culture in particular. Supervising faculty change from year to year, as does the focus of the seminar.","-","Course is not repeatable for credit.","-","-","-"
"EALANG","202","East Asian Languages and Cultures","Close Reading Area Studies: China and Japan in the World","2","4","-","This course will consider alternative strategies and modes of close reading that can be relevant to the study of East Asia with a focus on China and Japan. As we concentrate on the historical role of philological research, translation studies, interdisciplinary scholarship and ask how ""knowledge"" about East Asia is produced in our fields, our readings on ""close reading"" will help us question the common sense of ""civilization,"" culture,"" and ""tradition,"" and explore new ways of asking questions about text and context, aesthetics and politics, cultural memory, historical narratives, and regimes of knowledge.","-","Course may be repeated for credit without restriction.","-","-","-"
"EALANG","204","East Asian Languages and Cultures","Topics in East Asian Studies","2","4","-","This course provides a place for graduate-level seminars in East Asian Studies that rely primarily on secondary scholarship and texts in translation.  Content will vary between semesters but will typically focus on a particular theme.  Themes will be chosen according to faculty and student interests, with an eye toward introducing students to the breadth of available western scholarship on that subject, from classics in the field to the latest publications.","-","Course may be repeated for credit when topic changes.","-","-","-"
"EALANG","375","East Asian Languages and Cultures","Methods of Teaching East Asian Languages","2","2","-","This course aims to provide basic pedagogical training for teaching East Asian languages as second/foreign language. It involves critical reading and discussion of major pedagogical principles and issues in teaching Asian languages as second languages, with emphasis on the following topics: 
Practical topics such as lesson planning, classroom observation, peer teaching, classroom activities, self- and peer evaluations, best practices in teaching. The focus of this course is on teaching theory, methodology, curriculum and lesson plan design, focusing on the teaching of Chinese, Japanese and Korean as foreign/second languages. Classes include lecture, discussion of readings, activities and feedback on observed language classes. 
","-","Course may be repeated for credit with instructor consent.","-","-","-"
"EALANG","C220","East Asian Languages and Cultures","Seminar in Buddhism and Buddhist Texts","2","4","-","Content varies with student interests. The course will normally focus on classical Buddhist texts that exist in multiple recensions and languages, including Chinese, Sanskrit, and Tibetan.","BUDDSTDC220 SEM BUDDHISM TEXTS, SSEASNC220 SEM BUDDHISM TEXTS","Course may be repeated for credit without restriction.","-","-","-"
"ECON","201A","Economics","Economic Theory","4","4","-","Basic preparation for the Ph.D. program including theory of the firm and the consumer, game theory.","-","Course is not repeatable for credit.","-","-","-"
"ECON","201B","Economics","Economic Theory","4","4","-","Basic preparation for the Ph.D. program including agency theory and mechanism design, general equilibrium theory.","-","Course is not repeatable for credit.","-","-","-"
"ECON","202A","Economics","Macroeconomics","4","4","-","Basic preparation for the Ph.D. program including aggregation theory, national accounting and index problems, survey of major short-term models, implications of various expectations hypotheses, wage price determination, the role of money and financial assets, theories of consumption and investment, disequilibrium theory, dynamic systems, and international considerations. ","-","Course is not repeatable for credit.","-","-","-"
"ECON","202B","Economics","Macroeconomics","4","4","-","Basic preparation for the Ph.D. program including aggregation theory, national accounting and index problems, survey of major short-term models, implications of various expectations hypotheses, wage price determination, the role of money and financial assets, theories of consumption and investment, disequilibrium theory, dynamic systems, and international considerations. ","-","Course is not repeatable for credit.","-","-","-"
"ECON","204","Economics","Mathematical Tools for Economics","3","3","-","The course provides a rigorous abstract treatment of the elements of real analysis and linear algebra central to current research in economics. The course develops in the students the ability to read mathematical proofs and to compose simple proofs on their own.","-","Course is not repeatable for credit.","-","-","-"
"ECON","206","Economics","Mechanism Design and Agency Theory","3","3","-","This course will study the optimal design of mechanisms in the presence of incomplete information and imperfect observability. The course will begin with the ""classic"" principal-agent problem and will then develop its applications to the ""implicit contracts"" theory of agency and to the choice of government policies for regulated industries. The second half of the course will treat the design of auctions, regulation with costly or imperfect monitoring, mechanism design with limited contracts.","-","Course is not repeatable for credit.","-","-","-"
"ECON","207A","Economics","Mathematical Economics","3","3","-","Mathematical analysis of economic theory. The problems treated involve as wide a range of mathematical techniques and of economic topics as possible, including theories of preference, utility, demand, personal probability, games and general equilibrium. Also listed as IDS 213A-213B and Math 213A-213B.","-","Course is not repeatable for credit.","-","-","-"
"ECON","207B","Economics","Mathematical Economics","3","3","-","Mathematical analysis of economic theory. The problems treated involve as wide a range of mathematical techniques and of economic topics as possible, including theories of preference, utility, demand, personal probability, games and general equilibrium. Also listed as IDS 213A-213B and Math 213A-213B.","-","Course is not repeatable for credit.","-","-","-"
"ECON","208","Economics","Microeconomic Theory Seminar","3","3","-","-","-","Course may be repeated for credit without restriction.","-","-","-"
"ECON","209A","Economics","Theory and Application of Non-Cooperative Games","3","3","-","This course will study both pure game theory and its application to such problems as oligopoly pricing, non-cooperative bargaining, predatory pricing, and optimal auctions. The focus will be on game theory as a modelling process as opposed to a body of known results.","-","Course is not repeatable for credit.","-","-","-"
"ECON","209B","Economics","Theory and Application of Non-Cooperative Games: II","3","3","-","The course will cover basic topics not covered in 209A; will provide a more thorough treatment of topics covered in 209A; will cover a selection of advanced topics.","-","Course is not repeatable for credit.","-","-","-"
"ECON","210A","Economics","Introduction to Economic History","3","3","-","Survey of some central themes in world economic history. Required of all Ph.D. candidates in economics.","-","Course is not repeatable for credit.","-","-","-"
"ECON","210B","Economics","Topics in European Economic History","3","3","-","A survey of some central themes in European economic history.","-","Course is not repeatable for credit.","-","-","-"
"ECON","210C","Economics","Topics in American Economic History","3","3","-","A survey of some central themes in American economic history.","-","Course is not repeatable for credit.","-","-","-"
"ECON","211","Economics","Seminar in Economic History","3","3","-","-","-","Course may be repeated for credit without restriction.","-","-","-"
"ECON","215A","Economics","Political Economics","3","3","-","Tools of political economics: preferences and institutions, electoral competition, agency, partisan politics. Redistributive politics: general interest politics, special interest politics. Comparative politics: electoral rules, separation of powers, political regimes. Dynamic politics: fiscal policy, growth.","-","Course is not repeatable for credit.","-","-","-"
"ECON","215B","Economics","Political Economics","3","3","-","Tools of political economics: preferences and institutions, electoral competition, agency, partisan politics. Redistributive politics: general interest politics, special interest politics. Comparative politics: electoral rules, separation of powers, political regimes. Dynamic politics: fiscal policy, growth.","-","Course is not repeatable for credit.","-","-","-"
"ECON","217","Economics","Risk Seminar","3","3","-","This interdisciplinary seminar features seminar participants and guest speakers from academic institutions and financial services firms, presenting work on the analysis and management of risk in financial markets.  Economics, statistics, finance, operations research, and other disciplines will be represented.","-","Course may be repeated for credit without restriction.","-","-","-"
"ECON","218","Economics","Seminar in Psychology and Economics","3","3","-","A graduate seminar in the field of behavioral economics.","-","Course is not repeatable for credit.","-","-","-"
"ECON","219A","Economics","Foundations of Psychology and Economics","3","3","-","This course presents psychological and experimental economics research demonstrating departures from perfect rationality, self-interest, and other classical assumptions of economics and explores ways that these departures can be mathematically modeled and incorporated into mainstream positive and normative economics. The course will focus on the behavioral evidence itself, especially on specific formal assumptions that capture the findings in a way that can be used by economists. Economic applications will be used for illustrative purposes, but the course will emphasize formal theory.","-","Course is not repeatable for credit.","-","-","-"
"ECON","219B","Economics","Applications of Psychology and Economics","3","3","-","This course will build off of the material presented in 219A. It will expand on the psychological and experimental economic research presented there, but will emphasize a range of economic applications and especially empirical research.","-","Course is not repeatable for credit.","-","-","-"
"ECON","220A","Economics","Industrial Organization","3","3","-","Market structure, conduct and performance in the unregulated sector of the American economy. Public policies related to the promotion or restriction of competition.","-","Course is not repeatable for credit.","-","-","-"
"ECON","220B","Economics","Industrial Organization","3","3","-","Continuation of 220A. The characteristics of regulated industries and the consequences of regulation for economic performance.","-","Course is not repeatable for credit.","-","-","-"
"ECON","220C","Economics","Special Topics in Industrial Organization","3","3","-","See course announcement for current topics.","-","Course is not repeatable for credit.","-","-","-"
"ECON","221","Economics","Seminar in Industrial Organization:  Regulation and Public Enterprise","3","3","-","-","-","Course may be repeated for credit without restriction.","-","-","-"
"ECON","224","Economics","Economics of Institutions","3","3","-","This course develops the proposition that institutions have pervasive ramifications for understanding economic organization. A comparative institutional approach is employed whereby the transaction is made the basic unit of analysis and alternative modes of organization are assessed with respect to their comparative contracting properties.","-","Course is not repeatable for credit.","-","-","-"
"ECON","226","Economics","Health Economics","3","3","-","This advanced course in Health Economics aims to introduce the unique features of healthcare markets, explore frontier research, and understand the field's historical and policy context. It also focuses on developing students' ability to identify key research questions and conduct original research using both theoretical and empirical models.","-","Course is not repeatable for credit.","-","-","-"
"ECON","230A","Economics","Public Economics","3","3","-","The economic and policy analysis of government expenditures, taxes, and intergovernmental fiscal relations. 230A is not a prerequisite for 230B.","-","Course is not repeatable for credit.","-","-","-"
"ECON","230B","Economics","Public Economics","3","3","-","Government intervention changes opportunities and incentives for firms, families, individuals, service providers, and state and local government. This course considers the incentive effects of government expenditure programs. The primary emphasis will be in the examination of the effect of social expenditure programs on individuals and families. Most of the papers will be empirical. The course will not contain an explicit section on methodology and econometric techniques; instead, relevant econometric techniques (e.g., discrete choice, duration analysis) will be discussed in the context of the empirical literature.","-","Course is not repeatable for credit.","-","-","-"
"ECON","230C","Economics","Public Sector Microeconomics","3","3","-","The economic and policy analysis of government expenditures, taxes, and intergovernmental fiscal relations.","-","Course is not repeatable for credit.","-","-","-"
"ECON","231","Economics","Seminar in Public Sector Economics","3","3","-","-","-","Course may be repeated for credit without restriction.","-","-","-"
"ECON","234A","Economics","Macroeconomic Finance","3","3","-","Introduction to macroeconomic finance. Course covers static portfolio choice, capital asset pricing model (CAPM), consumption based models, dynamic equilibrium asset pricing theories, and current issues in behavioral finance. Strong emphasis on household finance and risk-sharing. Course is both theoretical and empirical.","-","Course is not repeatable for credit.","-","-","-"
"ECON","234C","Economics","Financial Decision-Making in Firms","3","3","-","This course provides a theoretical and empirical treatment of the core topics in corporate finance including internal corporate investment; external corporate investment (mergers and acquisitions); capital structure and financial contracting; bankruptcy; corporate governance.","-","Course is not repeatable for credit.","-","-","-"
"ECON","235","Economics","Financial Economics Seminar","3","3","-","This course presents speakers who work on the boundary of economics and finance, on topics including asset pricing, behavioral finance, and corporate finance.","-","Course may be repeated for credit without restriction.","-","-","-"
"ECON","236A","Economics","Advanced Macroeconomics I","3","3","-","Macroeconomic models; theory and practice of aggregate economics; rational expectations models; finance theory integrated with macro.","-","Course is not repeatable for credit.","-","-","-"
"ECON","236B","Economics","Advanced Macroeconomics II","3","3","-","Macroeconomic models; theory and practice of aggregate economics; rational expectations models; finance theory integrated with macro. ","-","Course is not repeatable for credit.","-","-","-"
"ECON","236D","Economics","Behavioral Macroeconomics","3","3","-","This course focuses on incorporating insights from behavioral economics into macroeconomic analysis. ","-","Course is not repeatable for credit.","-","-","-"
"ECON","237","Economics","Seminar in Advanced Macroeconomics and Money","3","3","-","-","-","Course may be repeated for credit without restriction.","-","-","-"
"ECON","240A","Economics","Econometrics","5","5","-","Basic preparation for the Ph.D. program including probability and statistical theory and the classical linear regression model.","-","Course is not repeatable for credit.","-","-","-"
"ECON","240B","Economics","Econometrics","4","4","-","Basic preparation for the Ph.D. program including generalized least squares; instrumental variables estimation; generalized method of moments; time series analysis; and nonlinear models.","-","Course is not repeatable for credit.","-","-","-"
"ECON","241A","Economics","Econometrics","2","2","-","Intended for students specializing in econometrics and others with strong mathematical backgrounds. Linear and nonlinear statistical models and their applications in economics. Special problems in analyzing data from non-controlled experiments.","-","Course is not repeatable for credit.","-","-","-"
"ECON","241B","Economics","Econometrics","2","2","-","This course will cover fundamentals of time series econometrics. It is intended both for students specializing in econometric theory and for students interested in applying time series methods to economic data.","-","Course is not repeatable for credit.","-","-","-"
"ECON","241C","Economics","Econometrics","2","2","-","The course covers topics in classic nonparametric and modern approaches to econometrics. Topics include (among others) decision theory, high-dimensional models, causal inference, and Bayesian methods.","-","Course is not repeatable for credit.","-","-","-"
"ECON","242","Economics","Seminar in Econometrics","3","3","-","-","-","Course may be repeated for credit without restriction.","-","-","-"
"ECON","244","Economics","Applied Econometrics","3","3","-","Methods of applied econometrics, with emphasis on alternative modelling strategies and problems met in practice. Intended for doctoral students conducting empirical research.","-","Course is not repeatable for credit.","-","-","-"
"ECON","250A","Economics","Labor Economics","3","3","-","Analysis of labor market behavior. ","-","Course is not repeatable for credit.","-","-","-"
"ECON","250B","Economics","Labor Economics","3","3","-","Analysis of labor market behavior.","-","Course is not repeatable for credit.","-","-","-"
"ECON","250C","Economics","Labor Economics","3","3","-","Analysis of labor market behavior.","-","Course is not repeatable for credit.","-","-","-"
"ECON","251","Economics","Seminar in Labor Economics","3","3","-","Seminar for students at the doctoral dissertation level.","-","Course may be repeated for credit without restriction.","-","-","-"
"ECON","260A","Economics","Comparative Economics","3","3","-","New issues raised by transition for economics. Political economy of reform: speed, sequencing, reform design, political economy of privatization. Allocative changes: speed of sectoral reallocation, price liberalization, output fall and macroeconomic dynamics, law enforcement, dynamics of institutional change.","-","Course is not repeatable for credit.","-","-","-"
"ECON","270B","Economics","Development Economics","3","3","-","Problems of underdevelopment and poverty, policy issues and development strategies.","-","Course is not repeatable for credit.","-","-","-"
"ECON","270C","Economics","Development Economics","3","3","-","Basic macro-policy planning with investment project analysis.","-","Course is not repeatable for credit.","-","-","-"
"ECON","271","Economics","Seminar in Development Economics","3","3","-","-","-","Course may be repeated for credit without restriction.","-","-","-"
"ECON","274","Economics","Global Poverty and Impact Evaluation","4","4","-","Rather than simply describing the causes and symptoms of global poverty, this course will explore the variety of tools available for rigorously measuring the impact of development programs. Through weekly case studies of field research, the course will cover impact evaluation theory and methods. The course will culminate with a final project in which each student will design an impact evaluation of a policy or intervention.","-","Course is not repeatable for credit.","-","-","-"
"ECON","280A","Economics","International Economics","3","3","-","The world economy as a general equilibrium system. The theory of international economics, trade policy.","-","Course is not repeatable for credit.","-","-","-"
"ECON","280B","Economics","International Economics","3","3","-","This course develops basic theoretical models for studying issues in open-economy macroeconomics. The current account and the trade balance, international capital market integration, developing country debt problems, the real exchange rate, fiscal policy in the open economy, and international policy coordination.","-","Course is not repeatable for credit.","-","-","-"
"ECON","280C","Economics","International Economics","3","3","-","This course is an empirical treatment of open-economy macroeconomics and finance. Topics include trade elasticities, the determination of the trade balance and income under fixed and floating exchange rates, purchasing power parity, devaluation in small open economies, quantifying the degree of international capital mobility, implications for the effectiveness of monetary and fiscal policy, international interdependence and coordination, models of exchange rate determination.","-","Course is not repeatable for credit.","-","-","-"
"ECON","281","Economics","Seminar in International Trade and Finance","3","3","-","-","-","Course may be repeated for credit without restriction.","-","-","-"
"ECON","291","Economics","Departmental Seminar","1","1","-","A general interest seminar featuring speakers and topics of broad interest whose work will be important for all areas of economics.","-","Course is not repeatable for credit.","-","-","-"
"ECON","295","Economics","Survey of Research in Economics","1","1","-","Presentations by departmental faculty of new research directions in different subfields of economics.","-","Course is not repeatable for credit.","-","-","-"
"ECON","296","Economics","Special Topics in Economics","3","3","-","Topics of different sections to be announced annually.","-","Course may be repeated for credit without restriction.","-","-","-"
"ECON","298","Economics","Directed Group Study for Graduates","1","4","-","Seminars for the group of selected topics, which will vary from year to year.","-","Course is not repeatable for credit.","-","-","-"
