"Subject","Course Number","Department(s)","Course Title","Credits - Units - Minimum Units","Credits - Units - Maximum Units","Terms Offered","Course Description","Cross-Listed Course(s)","Repeat Rules","Repeat Rule: Special Circumstances","Offering Information","Additional Offering Information"
"AHMA","210","Ancient History and Mediterranean Archaeology GG","Ancient History and Mediterranean Archaeology Interdisciplinary Seminar","2","4","-","Team-taught by faculty from two different departments. The purpose is not only to expose students to a discipline other than their own, but to engage them directly in the application of that discipline to their own research interests. The topic and instructors will vary from year to year.","-","Course may be repeated for credit without restriction.","-","-","-"
"AHMA","298","Ancient History and Mediterranean Archaeology GG","Special Study","2","12","-","Normally reserved for students writing the doctoral dissertation.","-","Course may be repeated for credit without restriction.","-","-","-"
"AHMA","299","Ancient History and Mediterranean Archaeology GG","Special Study","1","4","-","Topics and instructors will vary from year to year. Special individual study for qualified graduate students. Individual study and research, including archaeological fieldwork or laboratory projects, in consultation with instructor on subject matter not covered in scheduled course offerings. ","-","Course may be repeated for credit without restriction.","-","-","-"
"AHMA","601","Ancient History and Mediterranean Archaeology GG","Individual Study for Masters Candidates","1","12","-","Individual study for the comprehensive or language requirements in consultation with the graduate adviser or personal adviser. Units may not be used to meet either unit or residence requirements for a master's degree.","-","Course may be repeated for credit without restriction.","-","-","-"
"AHMA","602","Ancient History and Mediterranean Archaeology GG","Individual Study for Doctoral Candidates","1","12","-","Individual study in consultation with the graduate adviser or personal adviser, intended to provide an opportunity for qualified students to prepare themselves for the various examinations required of candidates for the Ph.D. May not be used for unit or residence requirements for the doctoral degree.","-","Course may be repeated for credit without restriction.","-","-","-"
"AMERSTD","300","Undergraduate Interdisciplinary Studies","Teaching Interdisciplinary American Studies","2","2","-","This course will introduce graduate students to a number of techniques and theories used in teaching at the university level. In particular, it will focus on the challenges of teaching interdisciplinary American studies courses that rely on a range of materials and methodological approaches drawn from multiple disciplines and that address students who come from a variety of disciplinary backgrounds.","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","210","Anthropology","Special Topics in Biological Anthropology","4","4","-","  Advanced topics in biological anthropology, including both contemporary and ancestral human populations, such as biology of the life course, health and disease, violence and trauma, cognition and symbolic communication, and other anthropological topics viewed from the perspective of human biology.","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","217","Anthropology","Discourse and of the Body","4","4","-","This course juxtaposes discourse analysis and approaches to health and biomedicine, querying how ideologies of language and communication provide implicit foundations for work on health, disease, medicine, and the body and how biopolitical discourses and practices inform constructions of discourse.","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","219","Anthropology","Topics in Medical Anthropology","4","4","-","Comparative study of mental illness and socially generated disease: psychiatric treatment, practitioners, and institutions.","-","Course may be repeated for credit without restriction.","-","-","-"
"ANTHRO","221","Anthropology","Pre-Columbian Central America","4","4","-","-","-","Course may be repeated for credit without restriction.","-","-","-"
